epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,557.361,0.1852,0.96042,1,0.10527,0.00077975,0.00077975,0.00077975
78,564.532,0.16591,0.95866,1,0.11475,0.000773563,0.000773563,0.000773563
79,571.658,0.15236,0.9657,1,0.09876,0.000767375,0.000767375,0.000767375
80,578.756,0.18099,0.96218,1,0.10862,0.000761188,0.000761188,0.000761188
81,585.838,0.16486,0.97361,1,0.08378,0.000755,0.000755,0.000755
82,592.945,0.17043,0.95251,1,0.12678,0.000748813,0.000748813,0.000748813
83,600.09,0.14782,0.97098,1,0.08511,0.000742625,0.000742625,0.000742625
84,607.415,0.16773,0.96042,1,0.12288,0.000736438,0.000736438,0.000736438
85,614.48,0.16018,0.96042,1,0.11447,0.00073025,0.00073025,0.00073025
86,621.637,0.14997,0.95866,1,0.10612,0.000724062,0.000724062,0.000724062
87,628.806,0.14157,0.9657,1,0.0969,0.000717875,0.000717875,0.000717875
88,636.01,0.14771,0.96658,1,0.08975,0.000711687,0.000711687,0.000711687
89,643.118,0.17329,0.97098,1,0.09114,0.0007055,0.0007055,0.0007055
90,650.24,0.15013,0.97801,1,0.07383,0.000699312,0.000699312,0.000699312
91,657.394,0.15045,0.9657,1,0.09809,0.000693125,0.000693125,0.000693125
92,664.606,0.13637,0.96746,1,0.09223,0.000686937,0.000686937,0.000686937
93,671.762,0.12979,0.96922,1,0.09207,0.00068075,0.00068075,0.00068075
94,678.959,0.13635,0.96658,1,0.08889,0.000674562,0.000674562,0.000674562
95,686.06,0.14133,0.96394,1,0.09305,0.000668375,0.000668375,0.000668375
96,693.29,0.13094,0.96746,1,0.09037,0.000662188,0.000662188,0.000662188
97,700.402,0.13144,0.97361,1,0.08093,0.000656,0.000656,0.000656
98,707.518,0.1302,0.97098,1,0.08197,0.000649813,0.000649813,0.000649813
99,714.64,0.12613,0.98065,1,0.06438,0.000643625,0.000643625,0.000643625
100,721.79,0.11357,0.97361,1,0.07499,0.000637437,0.000637437,0.000637437
101,728.924,0.1029,0.97449,1,0.07232,0.00063125,0.00063125,0.00063125
102,736.096,0.11278,0.97361,1,0.07561,0.000625062,0.000625062,0.000625062
103,743.29,0.13676,0.98065,1,0.07043,0.000618875,0.000618875,0.000618875
104,750.439,0.12227,0.97977,1,0.06363,0.000612687,0.000612687,0.000612687
105,757.629,0.12047,0.9701,1,0.07876,0.0006065,0.0006065,0.0006065
106,764.815,0.13781,0.97889,1,0.06237,0.000600313,0.000600313,0.000600313
107,771.934,0.10345,0.97537,1,0.06367,0.000594125,0.000594125,0.000594125
108,779.162,0.11112,0.98065,1,0.05556,0.000587938,0.000587938,0.000587938
109,786.262,0.09636,0.97889,1,0.0588,0.00058175,0.00058175,0.00058175
110,793.368,0.11766,0.97713,1,0.06447,0.000575563,0.000575563,0.000575563
111,800.484,0.12644,0.97889,1,0.06468,0.000569375,0.000569375,0.000569375
112,807.649,0.09854,0.98417,1,0.05158,0.000563187,0.000563187,0.000563187
113,814.812,0.09749,0.98153,1,0.0698,0.000557,0.000557,0.000557
