epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,492.79,0.33071,0.91093,1,0.24348,0.000859027,0.000859027,0.000859027
78,499.094,0.30226,0.93219,1,0.18443,0.000849963,0.000849963,0.000849963
79,505.358,0.3019,0.92105,1,0.2024,0.000840844,0.000840844,0.000840844
80,511.785,0.30379,0.91093,1,0.21018,0.000831674,0.000831674,0.000831674
81,518.063,0.31389,0.94231,1,0.17214,0.000822454,0.000822454,0.000822454
82,524.354,0.28892,0.94433,1,0.18119,0.000813187,0.000813187,0.000813187
83,530.641,0.29158,0.93927,1,0.18253,0.000803876,0.000803876,0.000803876
84,537.044,0.28499,0.92915,1,0.19331,0.000794521,0.000794521,0.000794521
85,543.34,0.31451,0.94028,1,0.16989,0.000785127,0.000785127,0.000785127
86,549.654,0.27764,0.94028,1,0.17018,0.000775694,0.000775694,0.000775694
87,556.023,0.28909,0.94433,1,0.17636,0.000766226,0.000766226,0.000766226
88,562.354,0.26891,0.92611,1,0.18887,0.000756725,0.000756725,0.000756725
89,568.657,0.27942,0.93826,1,0.16734,0.000747192,0.000747192,0.000747192
90,574.965,0.25298,0.94636,1,0.14792,0.000737631,0.000737631,0.000737631
91,581.32,0.24314,0.95749,1,0.14279,0.000728044,0.000728044,0.000728044
92,587.662,0.25558,0.96154,1,0.12751,0.000718433,0.000718433,0.000718433
93,593.982,0.23625,0.94332,1,0.15102,0.0007088,0.0007088,0.0007088
94,600.28,0.25116,0.93927,1,0.15379,0.000699148,0.000699148,0.000699148
95,606.617,0.21507,0.95344,1,0.13659,0.00068948,0.00068948,0.00068948
96,612.919,0.23341,0.94332,1,0.14479,0.000679797,0.000679797,0.000679797
97,619.227,0.24322,0.9504,1,0.15302,0.000670102,0.000670102,0.000670102
98,625.559,0.23576,0.95547,1,0.13364,0.000660397,0.000660397,0.000660397
99,631.838,0.2243,0.96255,1,0.12189,0.000650685,0.000650685,0.000650685
100,638.152,0.22362,0.96862,1,0.11094,0.000640969,0.000640969,0.000640969
101,644.467,0.21869,0.9585,1,0.12385,0.00063125,0.00063125,0.00063125
102,650.747,0.22343,0.95648,1,0.12951,0.000621531,0.000621531,0.000621531
103,657.052,0.23772,0.96356,1,0.11518,0.000611815,0.000611815,0.000611815
104,663.462,0.20259,0.95344,1,0.11823,0.000602103,0.000602103,0.000602103
105,669.725,0.19538,0.95749,1,0.1221,0.000592398,0.000592398,0.000592398
106,676.031,0.19569,0.95951,1,0.12544,0.000582703,0.000582703,0.000582703
107,682.406,0.1934,0.95951,1,0.11366,0.00057302,0.00057302,0.00057302
108,688.777,0.19746,0.96457,1,0.10902,0.000563352,0.000563352,0.000563352
109,695.063,0.19652,0.95951,1,0.10555,0.0005537,0.0005537,0.0005537
110,701.383,0.17089,0.97166,1,0.0984,0.000544067,0.000544067,0.000544067
111,707.688,0.16715,0.96964,1,0.09534,0.000534456,0.000534456,0.000534456
